selected,Player,Pos,Fantasy_point,Time_limit
1,Anthony Davis,C,2.91,30.23
1,Austin Reaves,G,2.59,21.3
1,Avery Bradley,G,1.15,22.83
1,Carmelo Anthony,F,2.39,28.6
1,DeAndre Jordan,C,1,19.43
1,Dwight Howard,C,1.81,16.87
0,Jay Huff,F,4.18,16.7
1,Kent Bazemore,G,1.77,23.17
1,LeBron James,F,4.8,35.03
1,Malik Monk,G,2.07,20.67
1,Rajon Rondo,G,1.83,17.73
1,Russell Westbrook,G,1.92,36.03
0,Sekou Doumbouya,F,2.9,18.5
1,Wayne Ellington,G,1.93,18.87
